Iteration,Loop_Count,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10,1186750400,558888900,241666000
1,100,1220859100,1021545300,874460600
1,1000,5839254300,6629146100,7452440200
2,10,1202474400,564098000,240807600
2,100,1224147900,1037780500,877849700
2,1000,5856614500,5724737700,7221063300
3,10,1178641600,562431800,239406700
3,100,1224926300,1029898700,877444900
3,1000,5864835500,5720113200,7259904800
4,10,1180444700,564803400,244100100
4,100,1232025100,1029993699,878259900
4,1000,5855614300,5727443000,7262991700
5,10,1177344100,559336900,240711600
5,100,1231083900,1024623099,883750800
5,1000,5882268700,5724445200,7236303600
6,10,1177222800,562236700,246535600
6,100,1230490000,1027481400,878411500
6,1000,5862894000,5732088700,7238019300
7,10,1193256600,565847800,240192400
7,100,1234443300,1027697099,882826800
7,1000,5867891300,5742302600,7234824500
8,10,1183287200,585355300,303199700
8,100,1232986800,1028923199,876755700
8,1000,5863894400,5728186900,7236395900
9,10,1196389400,564109200,241202000
9,100,1239978400,1037340600,881695500
9,1000,5870937800,5727406300,7241829700
10,10,1176820700,564860600,245325800
10,100,1237666000,1033067800,878374800
10,1000,5869774200,5733678700,7237283000
11,10,1178683600,569524600,247150100
11,100,1236992600,1049124000,877265200
11,1000,5875403900,5736632700,7240509400
12,10,1180087800,569100500,241301000
12,100,1232089100,1035034599,877844600
12,1000,5874009900,5734228800,7239140400
13,10,1181674900,569370200,249632700
13,100,1229315200,1039646200,879120300
13,1000,5908918200,5773418800,7275971700
14,10,1183327700,566140000,240700000
14,100,1236358400,1043443799,879814300
14,1000,5877947500,5745269500,7275633300
15,10,1184501800,567931500,248810800
15,100,1231911800,1037533100,880463500
15,1000,5873678700,5740713900,7276072000
16,10,1194156600,572989100,240561700
16,100,1245838400,1046158300,881256100
16,1000,5867796700,5744098700,7277516600
17,10,1179607400,568678800,259907200
17,100,1229950000,1037111600,878003500
17,1000,5898136700,5740849600,7273669100
18,10,1186905100,571249100,241864900
18,100,1233264800,1033578700,876033700
18,1000,5880611900,5748321800,7275933200
19,10,1181712200,570719300,246443800
19,100,1250308400,1036977100,879827900
19,1000,5874553600,5739761600,7273375500
20,10,1182894700,574232400,241989000
20,100,1234754500,1035462100,876784600
20,1000,5882193600,5736545900,7279512000
