Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10000,29745700,448700,2381000
2,10000,27046900,500600,2108700
3,10000,27094300,522200,1829200
4,10000,26203200,583400,1609200
5,10000,26964600,513299,1615900
6,10000,27101500,482200,1358700
7,10000,26535900,534200,1658100
8,10000,26858700,450900,1867800
9,10000,27565200,432100,1528800
10,10000,27522100,445600,1615100
11,10000,27569600,436100,2511000
12,10000,30582100,441900,4952200
13,10000,27287800,449700,1494900
14,10000,27513500,381600,1630900
15,10000,27345300,425100,1603600
16,10000,27871000,443200,1591900
17,10000,27526400,387800,1695200
18,10000,28664300,565300,3244900
19,10000,30757600,376200,6157800
20,10000,27682900,394900,1557500
1,20000,30318900,605200,1833700
2,20000,29708900,582000,1654100
3,20000,29707300,596600,1741200
4,20000,29714000,537100,1801500
5,20000,32603399,661000,4472400
6,20000,32209700,633700,4889400
7,20000,33080300,614100,1374100
8,20000,30108300,599700,1592200
9,20000,30258500,625500,1702200
10,20000,29699200,570600,2031200
11,20000,29712300,644500,2073800
12,20000,29823300,620600,2248400
13,20000,33219000,636400,6477000
14,20000,29503800,529100,1590300
15,20000,29562700,569400,1557800
16,20000,29738900,628300,1961600
17,20000,31553600,729300,1751800
18,20000,37945500,990300,4491500
19,20000,37527300,724800,3253400
20,20000,32813500,626600,2076499
1,40000,41458500,818200,1521600
2,40000,40884800,889900,1524500
3,40000,37434600,747600,1422400
4,40000,39186000,855400,3224700
5,40000,44275000,882100,5159800
6,40000,38717900,783800,5780600
7,40000,40758300,910300,2378700
8,40000,39492600,924900,1907400
9,40000,42401900,905500,1935300
10,40000,47309600,1040600,3164000
11,40000,40657400,915700,1681500
12,40000,44004900,1246600,2357500
13,40000,41305700,944300,2309300
14,40000,41099700,958500,2654300
15,40000,40781100,874000,3110300
16,40000,44767900,1156400,3666600
17,40000,49597000,1191900,5357200
18,40000,39623300,871000,2478400
19,40000,45066100,869000,2625100
20,40000,45112200,968200,2680300
1,80000,62770000,1450200,6193700
2,80000,66115400,1710500,7838599
3,80000,57057800,1485400,2392300
4,80000,55440900,1399100,3183200
5,80000,58581000,1542900,6355500
6,80000,60713900,1871800,5312600
7,80000,56514400,1324100,2121300
8,80000,55038800,1693300,2297200
9,80000,54007100,1235700,5517000
