Iteration,Loop_Count,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10,1172329500,596421600,256408499
1,100,1500848900,1228645700,891083700
1,1000,7919756100,7612911000,7269073400
2,10,1139504300,590407500,239925600
2,100,1521051200,1219333600,878076900
2,1000,7833525100,7575402100,7223002400
3,10,1111155400,584732500,271188800
3,100,1513765400,1214020200,877671600
3,1000,7810135400,7565410000,7229307900
4,10,1117981900,580774200,241443000
4,100,1498524100,1213751300,878934900
4,1000,7826739200,7570113800,7226741500
5,10,1141411800,586385000,238671000
5,100,1511964300,1213924000,879477600
5,1000,7833515400,7570406400,7224484400
6,10,1115069900,580633900,270736200
6,100,1499685000,1217670400,881505800
6,1000,7810088000,7566066200,7229462700
7,10,1153690700,588926500,257640700
7,100,1502484900,1230771300,877096100
7,1000,7845340600,7583533600,7225890000
8,10,1164475500,607108000,241182600
8,100,1535486100,1233581200,876412000
8,1000,7846686200,7581764100,7229152300
9,10,1145699300,599514300,269715800
9,100,1537458100,1230172300,883151900
9,1000,7816465100,7593716000,7269029300
10,10,1150957600,611945700,280295600
10,100,1545005900,1281252200,889900500
10,1000,7852220500,7594198800,7248860700
11,10,1137797900,615030700,282923100
11,100,1520066500,1247730800,902494400
11,1000,7854198700,7610517700,7260296400
12,10,1141068500,601570600,275663100
12,100,1516238600,1254331900,895725100
12,1000,7852273600,7611415300,7275233200
13,10,1137082700,605764500,263498999
13,100,1516616200,1248212000,885625400
13,1000,7856584400,7623795900,7260410000
14,10,1149437400,611599600,258605199
14,100,1520930700,1251572600,881401600
14,1000,7876814300,7637129000,7270086100
15,10,1184588500,618362600,260611099
15,100,1538823500,1239804100,880488400
15,1000,7871697200,7609448200,7253904300
16,10,1163607700,609019200,258514599
16,100,1527362900,1234901200,880202400
16,1000,7873089200,7611617300,7253060400
17,10,1169124000,610238000,243352500
17,100,1544207500,1224279600,882467200
17,1000,7896273800,7613338600,7246672500
18,10,1120601700,602391400,269799400
18,100,1538234000,1232658500,880442300
18,1000,7844577700,7595868600,7250183100
19,10,1124671600,601271600,276370000
19,100,1501361200,1237313700,892917400
19,1000,7849550200,7604436500,7249492700
20,10,1131327700,597096200,255583400
20,100,1514716600,1239676100,880755500
20,1000,7851011200,7609153700,7272312900
