Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10000,20772500,466700,1446300
2,10000,20251400,423400,1463100
3,10000,21313600,597500,1692200
4,10000,20903900,481400,1450300
5,10000,21511700,662600,2001700
6,10000,20434400,485900,1527000
7,10000,20461800,457600,1450900
8,10000,20291900,457900,1525100
9,10000,21129100,526100,2141700
10,10000,20951000,572800,1484900
11,10000,20262700,479300,1478500
12,10000,22426000,495100,6024100
13,10000,20963300,678600,1407600
14,10000,21505300,499000,1708500
15,10000,21168200,471400,1447200
16,10000,21996400,388800,1390100
17,10000,20846900,384100,1470100
18,10000,21017300,505300,1411900
19,10000,21039500,459500,2215400
20,10000,23106200,391700,5829800
1,20000,20953300,601600,1368700
2,20000,20963800,620300,1537400
3,20000,21320600,602500,1459700
4,20000,21174800,654200,1366200
5,20000,21090100,633200,1458700
6,20000,21079000,573400,1607000
7,20000,22296000,674500,3056700
8,20000,22485000,822400,2047700
9,20000,21761800,640000,1723700
10,20000,20974100,540600,1435100
11,20000,21079400,628200,1389500
12,20000,22869000,550100,1374400
13,20000,21062300,642000,1420700
14,20000,21146800,558600,1256100
15,20000,21207300,608400,1732500
16,20000,24075700,596500,2374700
17,20000,21278600,592600,1550200
18,20000,21055400,571100,1516300
19,20000,21134500,737900,1600400
20,20000,20966300,641100,1426900
1,40000,21710300,923200,1527600
2,40000,21287400,939500,1496100
3,40000,21834500,933600,3252000
4,40000,22302900,810000,2064299
5,40000,21439100,844100,1552200
6,40000,21399300,964900,1596200
7,40000,21711900,926100,1682300
8,40000,21157500,916100,1571100
9,40000,21295000,939500,1506400
10,40000,21347000,942800,1546800
11,40000,21615900,918100,3013600
12,40000,22321800,1017799,2274000
13,40000,21087900,883800,1640200
14,40000,21567100,818500,1469300
15,40000,21822100,992000,1659700
16,40000,21666400,949100,1518600
17,40000,21442100,859900,1497300
18,40000,21796700,945800,1598800
19,40000,21835700,953400,3301600
20,40000,21530100,1000000,1771000
1,80000,21963900,1543600,1731500
2,80000,21914200,1513300,1594500
3,80000,21995100,1473200,1873500
4,80000,22729000,1471200,1743700
5,80000,21800600,1556800,1443600
6,80000,21820800,1231700,1691400
7,80000,23074400,1751600,1973100
8,80000,21820400,1597700,1850000
9,80000,23551200,1448800,1823900
10,80000,21848000,1554500,1744600
11,80000,21587500,1562900,1449500
12,80000,21859500,1563500,1650400
13,80000,22420600,1594200,1591400
14,80000,22837700,1554900,4906200
15,80000,22325300,1608900,3581600
16,80000,21654500,1558300,1476900
17,80000,21729200,1551500,1587400
18,80000,21870700,1536000,1501800
19,80000,21670400,1517500,1709800
20,80000,22031600,1458000,2287200
1,160000,23400700,2400700,2084000
2,160000,24548500,2633100,5448200
3,160000,22767200,2774400,1965000
4,160000,22831600,2443500,1875700
5,160000,22625200,2809400,2124200
6,160000,23542700,2819900,2129000
7,160000,22931700,2902900,1875400
8,160000,22707500,2866600,2071000
9,160000,25887400,2210500,8237700
10,160000,23620000,2833400,1773900
11,160000,22743200,2772600,1816200
12,160000,23641800,2854100,2013099
13,160000,22820200,2884800,1980000
14,160000,23004600,2938000,1882300
15,160000,22875900,2812800,2030400
16,160000,29727400,2716600,9254000
17,160000,23104300,2703800,2377000
18,160000,22547000,2802800,1822600
19,160000,22797900,2827100,1911500
20,160000,22689200,2765300,1898900
1,320000,25089100,4415300,3115700
2,320000,25123200,4484500,3075800
3,320000,25469000,4452500,4381400
4,320000,28629900,4574100,9086100
5,320000,25169500,4698100,3432900
6,320000,25138200,4646400,3578000
7,320000,25012000,4578200,3721100
8,320000,24923500,4629700,3419100
9,320000,24745600,4572800,3215800
10,320000,25597700,4732300,4152200
11,320000,27414900,4756300,4777700
12,320000,28815600,4668300,3565900
13,320000,25286500,4609300,3795400
14,320000,25278800,4613300,3668800
15,320000,25177500,4603100,3511500
16,320000,25261800,4549200,3334200
17,320000,25911100,4556800,4487800
18,320000,29300000,4966600,8408000
19,320000,25663900,4564200,3655800
20,320000,25056900,4546800,3730700
1,640000,29112700,8793400,6441000
2,640000,29541500,9036500,6148000
3,640000,29805000,8883400,5375800
4,640000,31889800,8908500,10902100
5,640000,31881399,9040700,11006800
6,640000,28708000,8730800,5605300
7,640000,29106500,8898400,5941700
8,640000,28906800,9659600,5833400
9,640000,28745500,8788500,5640700
10,640000,28878300,8741000,5519200
11,640000,31279900,8933600,11541300
12,640000,31261900,9137600,7688900
13,640000,29065600,8606100,4759600
14,640000,28913900,8733000,5554500
15,640000,28774600,8727500,5841600
16,640000,29046400,8998300,5814100
17,640000,28685000,8770700,5569000
18,640000,29613800,8766300,8085399
19,640000,30966100,8936000,5998900
20,640000,28604100,8744100,5180700
1,1280000,35617000,16679400,7403400
2,1280000,36807700,17209700,9255100
3,1280000,36916200,16895100,8901000
4,1280000,45570900,17540800,18190700
5,1280000,39450200,17324800,9037200
6,1280000,37608500,17116400,11286000
7,1280000,35967700,17319000,8856500
8,1280000,36745300,17327200,8817300
9,1280000,37058500,17070800,12348500
10,1280000,43197300,17575200,22919100
11,1280000,36967700,17026100,9015300
12,1280000,36618500,17095200,8445400
13,1280000,37623900,17113600,8099700
14,1280000,36944700,16939700,8787400
15,1280000,38016400,17131600,9685300
16,1280000,47398900,17845500,13375900
17,1280000,38804600,18392700,8014000
18,1280000,35874200,16719100,7949400
19,1280000,35788700,16633800,7428000
20,1280000,35870400,16714199,7972600
1,2560000,53072700,33746900,20287900
2,2560000,57030100,33212000,19553100
3,2560000,52634500,33616200,17772300
4,2560000,53413200,34140400,14045400
5,2560000,52976900,33395900,17259300
6,2560000,66063899,35325700,46229400
7,2560000,52088000,32978300,13529300
8,2560000,51455100,32598200,12683900
9,2560000,51079000,32891999,12515500
10,2560000,52138500,32926400,17559500
11,2560000,58098100,34876200,34901900
12,2560000,53383800,33214599,14174400
13,2560000,51045800,33793700,15158500
14,2560000,50735000,32538699,14220700
15,2560000,51428700,33239400,25150700
16,2560000,58379200,35042000,22175600
17,2560000,52209700,33611500,19251300
18,2560000,52943700,33690300,16761200
19,2560000,52857200,33673700,18987500
20,2560000,55009800,33742200,28606000
1,5120000,86815500,67267900,33414600
2,5120000,83189000,65270900,27564900
3,5120000,82195900,67162400,35521000
4,5120000,90393500,70029200,34813000
5,5120000,81390500,65643300,25272000
6,5120000,80514400,64691000,26905900
7,5120000,95528300,70213200,77723900
8,5120000,81723000,64993200,23686500
9,5120000,81660700,64667199,23587400
10,5120000,82357400,66116400,26669200
11,5120000,90069000,68947900,26513000
12,5120000,80316100,65207200,25612700
13,5120000,81091800,65531400,32056900
14,5120000,93938600,70666000,82809600
15,5120000,81770800,65282499,23809700
16,5120000,80998700,65129500,23904000
17,5120000,81632400,65078600,26463200
18,5120000,89173800,67081600,24046000
19,5120000,80244700,64755700,25699400
20,5120000,80654500,65252000,34338500
1,10240000,162895400,131907900,45838500
2,10240000,137285100,131241500,47058100
3,10240000,145831500,138724100,125037500
4,10240000,143538100,128985200,44854200
5,10240000,150372600,137315000,143393700
6,10240000,143490600,128231400,45348100
7,10240000,148007000,139100200,147095100
8,10240000,136848700,129561299,49960900
9,10240000,137704400,128140000,51566700
10,10240000,139750100,129274000,45667400
11,10240000,137326600,128363000,50625200
12,10240000,144824200,129049200,48650200
13,10240000,137893300,128220599,48946300
14,10240000,144506600,136584100,82107000
15,10240000,142424200,129381000,45626800
16,10240000,156447200,140900600,114409700
17,10240000,137547600,130479000,51034500
18,10240000,141675100,138564900,148004000
19,10240000,138060300,128993699,46162200
20,10240000,138097100,129089800,51173800
1,20480000,255502100,255946700,90490700
2,20480000,266268500,257116500,90878000
3,20480000,257821499,263825099,101335700
4,20480000,253579100,260466199,183829800
5,20480000,255664000,254695500,88266000
6,20480000,268059500,254718300,88902200
7,20480000,258106300,260904100,93238700
8,20480000,253722999,260397800,188121800
9,20480000,257872700,254965100,90682700
10,20480000,267562399,255483400,88974900
11,20480000,264827900,262444899,88289600
12,20480000,254480600,260263000,204079300
13,20480000,255561200,255781900,90655100
14,20480000,259153199,255047199,90241300
15,20480000,265040800,261181300,88388300
16,20480000,255222100,260801500,133758200
17,20480000,255481699,255336000,90129000
18,20480000,262934400,254118999,89256300
19,20480000,264278200,262628800,87674800
20,20480000,251327399,259676399,166361700
1,40960000,484696200,525061800,175900400
2,40960000,505388800,514404500,212420000
3,40960000,495055500,512760400,198896000
4,40960000,506465100,532662500,187018900
5,40960000,509205600,512718099,199399000
6,40960000,484508000,509661800,187843700
7,40960000,508766199,536600600,206882200
8,40960000,495858000,514510600,201329300
9,40960000,487138400,514670500,172225800
10,40960000,504162200,518077000,205931100
11,40960000,492186700,512073000,198467500
12,40960000,492481900,515512400,172124800
13,40960000,505106199,512319300,193825800
14,40960000,490551800,544165600,198954200
15,40960000,502438399,536054000,186687900
16,40960000,510327899,511483000,199039100
17,40960000,488184800,510314799,187335800
18,40960000,504531199,527653799,206566900
19,40960000,495758200,511413299,199332200
20,40960000,485937000,510283599,175787000
