Iteration,Loop_Count,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10,832899000,180169600,256763499
1,100,1114017800,811444000,874850900
1,1000,7533803400,7620431900,7678538900
2,10,705363600,156917800,228884100
2,100,1095234000,817403400,876648000
2,1000,7548966800,7695001300,7749442600
3,10,697975200,162260300,222725500
3,100,1095983400,814022900,879632800
3,1000,7548448800,7689636300,7657122500
4,10,696960400,155619000,221895900
4,100,1097154900,811910800,877262900
4,1000,7548768700,7695177000,7639186300
5,10,695383500,157292500,222903700
5,100,1100296000,811851800,877834900
5,1000,7535219700,7593721700,7611589100
6,10,696917700,153693500,221942200
6,100,1090913800,818048400,879083800
6,1000,7554273600,7629678500,7646345600
7,10,697641700,158056800,222554600
7,100,1103790400,816753300,893081400
7,1000,7553908400,7682042800,7774762400
8,10,701902500,153515700,236639200
8,100,1095188500,810398800,887181100
8,1000,7547117200,7787789100,7702134100
9,10,700697800,153024100,222480800
9,100,1097685000,813144500,876368800
9,1000,7540837900,7750436000,7680861700
10,10,699843500,165343000,230581500
10,100,1108303300,826455000,897476400
10,1000,7564518200,7654394900,7818042500
11,10,707223500,164606000,259755899
11,100,1185104000,937498000,900065900
11,1000,7547457700,7670901700,7677302700
12,10,727150500,161539700,257581500
12,100,1146113500,831392200,916543700
12,1000,7586062000,8013270600,8164690500
13,10,751404800,174079700,259601399
13,100,1160286600,828343000,886448600
13,1000,7604940800,8314101600,8810453000
14,10,709640600,174184400,237460700
14,100,1167977500,837534500,891366800
14,1000,7600442700,7890806800,8046782700
15,10,700760300,156423500,232132600
15,100,1106023500,821939100,881857000
15,1000,7567953600,7646000500,7762681300
16,10,713109900,155436200,246888400
16,100,1128816000,818900900,878975300
16,1000,7565806800,7840446200,7770864700
17,10,712730800,153928900,249154400
17,100,1121951300,811557800,887425400
17,1000,7563935600,7788382600,7774440700
18,10,712545300,157338200,252421300
18,100,1122081000,820473300,879252300
18,1000,7571092900,7607441300,7746932200
19,10,716530200,155486300,248858000
19,100,1120715200,810619600,909012000
19,1000,7578261000,7644765700,7626390300
20,10,710824300,153785100,251744399
20,100,1109178900,812363500,889539600
20,1000,7565438500,7691166400,7766671400
