Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10000,26669800,518000,1424500
2,10000,27955700,515199,1353500
3,10000,27964200,450300,1390000
4,10000,29213800,657800,1538500
5,10000,28480700,591900,1688700
6,10000,28221600,578200,1477200
7,10000,27128100,537500,1605800
8,10000,28779400,430700,1663500
9,10000,30381500,577000,1797000
10,10000,29669600,488799,1535300
11,10000,28309900,524500,1357400
12,10000,28663200,556400,1402900
13,10000,26981900,376800,1330400
14,10000,27391800,437600,1297800
15,10000,26988000,373900,1644400
16,10000,27163900,383700,1485100
17,10000,27803000,380000,1770600
18,10000,27096700,452800,1751200
19,10000,27403400,403900,1530800
20,10000,27110500,366300,1521200
1,20000,29990900,472300,1720200
2,20000,30378900,507199,1647400
3,20000,29384900,449200,2015900
4,20000,29179500,405300,1449000
5,20000,29054400,416500,1316000
6,20000,28886700,448300,1249200
7,20000,29181500,425900,1538000
8,20000,29830900,404500,1428200
9,20000,28932100,450000,1392700
10,20000,29592900,442000,1475900
11,20000,29663200,428600,1599900
12,20000,29621000,404500,1542700
13,20000,29343400,439800,1590300
14,20000,29756600,457300,1523900
15,20000,29638600,435000,1744600
16,20000,29847100,413800,1466500
17,20000,29457000,439400,1589200
18,20000,29914800,480400,1619300
19,20000,29428300,502100,1518900
20,20000,29671200,401600,1578200
1,40000,34747300,453400,1609100
2,40000,35019200,450900,1607700
3,40000,34900600,620500,1581600
4,40000,35475500,463700,1620300
5,40000,34872500,486700,1369900
6,40000,34976300,435500,1539100
7,40000,35732900,577600,1801600
8,40000,34830300,450900,1427300
9,40000,34915800,460800,1527100
10,40000,34276200,476800,1586700
11,40000,34687000,445900,1589400
12,40000,35691400,506799,1519200
13,40000,34927300,447300,1445600
14,40000,34902300,619000,1603000
15,40000,34734600,601200,1524000
16,40000,35420200,506599,1635500
17,40000,35080800,475300,1463600
18,40000,34278100,450800,1410500
19,40000,34732900,432300,1597600
20,40000,34927200,1792400,1401200
1,80000,48106400,572300,1521100
2,80000,47908400,577100,1639400
3,80000,48450200,665400,1588900
4,80000,48192800,570600,1417200
5,80000,47820400,569200,1411400
6,80000,47655700,569900,1351300
7,80000,47842200,591900,1428100
8,80000,49000900,573800,1428900
9,80000,48851000,567200,1498400
10,80000,47773800,796600,1557200
11,80000,48154000,639100,1890100
12,80000,49741600,626800,1681500
13,80000,48437600,662600,1680500
14,80000,48183600,560600,1960400
15,80000,48354800,568200,2287400
16,80000,48113500,548800,1496100
17,80000,47789700,552100,1584300
18,80000,48219400,686300,1587400
19,80000,48227000,588700,1398600
20,80000,48702900,555900,1375900
1,160000,75935600,961000,1675700
2,160000,75051500,791900,1691500
3,160000,74786000,795700,1687800
4,160000,75245800,787900,1705300
5,160000,75497200,779300,1710600
6,160000,76006000,906000,1935100
7,160000,75943000,892900,2092400
8,160000,75881700,814100,2002900
9,160000,75152600,812900,2104500
10,160000,75301600,901400,1933800
11,160000,75938500,787000,1599300
12,160000,75512500,879500,1965499
13,160000,75663600,827600,1991500
14,160000,75562200,781100,1902700
15,160000,76921700,810700,1970099
16,160000,75086000,1091600,1889000
17,160000,75830500,822500,1730100
18,160000,74975600,961200,1997000
19,160000,76678700,808800,2147100
20,160000,76028800,901400,2172600
1,320000,128361599,1886100,3104700
2,320000,128472900,1600400,2713400
3,320000,128746500,1561600,2747700
4,320000,127470400,1686600,2749200
5,320000,128536500,1633700,2763200
6,320000,127758000,1582900,2706400
7,320000,129517100,1673800,3067600
8,320000,129727199,1649600,2701500
9,320000,128311900,1679100,2973800
10,320000,127176700,1771600,3157100
11,320000,128087100,1636700,2961200
12,320000,128701299,1602900,2694900
13,320000,127730900,1638200,2771600
14,320000,129754600,1578300,2798000
15,320000,129667000,1604200,2778000
16,320000,127534399,1842500,2734100
17,320000,128891499,1602300,3024200
18,320000,127644100,1560000,2666300
19,320000,127514800,1637700,3050200
20,320000,129024200,1763300,3146400
1,640000,239227600,3179200,6250300
2,640000,237483200,3199600,4654100
3,640000,238778700,3173700,4975600
4,640000,235826200,2765300,4314600
5,640000,236010700,2868600,4357500
6,640000,234037000,3361300,4491100
7,640000,236236600,3239500,5013200
8,640000,234888900,2827400,4761900
9,640000,234867700,3506900,4627500
10,640000,237817400,3008300,5606900
11,640000,236026700,3058500,5445500
12,640000,235202500,3054800,5956900
13,640000,235719900,3098600,5554900
