Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
1,10000,27546600,534500,1637600
2,10000,26171000,483500,1339600
3,10000,26171800,577500,1450600
4,10000,26329000,387100,1253000
5,10000,27396100,747100,1581600
6,10000,27419200,481900,1393900
7,10000,27934700,542700,1433400
8,10000,26765000,514400,1306400
9,10000,26744000,433100,1375500
10,10000,28635700,545500,1351900
11,10000,28552300,605800,1514800
12,10000,26764800,406100,1385200
13,10000,27482500,480800,1460800
14,10000,26151200,407800,1261000
15,10000,26219800,378800,1273200
16,10000,27469300,460300,1378500
17,10000,27017900,380600,1293100
18,10000,26738700,393300,1291100
19,10000,27203700,364700,1271600
20,10000,27089300,353100,1348100
1,20000,29166800,450100,1266900
2,20000,29596300,486200,1305700
3,20000,29235400,453500,1259700
4,20000,29083900,412000,1517200
5,20000,29298000,500400,1306700
6,20000,29376700,528500,1329600
7,20000,29072900,529300,1252200
8,20000,29188200,420300,1327100
9,20000,29441600,402900,1346800
10,20000,29066500,433500,1491300
11,20000,29046900,495600,1279900
12,20000,28834000,426500,1743500
13,20000,28860000,414200,1253100
14,20000,29061900,423700,1319800
15,20000,29071000,424800,1332100
16,20000,28906200,450200,1254300
17,20000,29375000,461100,1276100
18,20000,29136700,441400,1325100
19,20000,29009800,418400,1171900
20,20000,28909600,436700,1303400
1,40000,34123300,440800,1301000
2,40000,36706800,460100,1308400
3,40000,34546800,458000,1675700
4,40000,34156800,438100,1293100
5,40000,33972800,488500,1464500
6,40000,34331100,595000,1332800
7,40000,34188600,542300,1305300
8,40000,33895100,477700,1280700
9,40000,34669900,434900,1284900
10,40000,34016200,464300,1278300
11,40000,33750700,468300,1365600
12,40000,34930300,497999,1431100
13,40000,34371000,457300,1280400
14,40000,34531100,459000,1314100
15,40000,34632200,473200,1482500
16,40000,35453400,486900,1459000
17,40000,34772100,433200,1295400
18,40000,34021900,458200,1277600
19,40000,34570900,429900,1270700
20,40000,34129600,464000,1335600
1,80000,47908000,733700,1462200
2,80000,47931400,563500,1404200
3,80000,47928200,634000,1559500
4,80000,47868000,587800,1388500
5,80000,48158400,615000,1438800
6,80000,47983400,610800,1377200
7,80000,47992400,583600,1350800
8,80000,47728300,540300,1376700
9,80000,48434500,572100,1424100
10,80000,47181600,576000,1428500
11,80000,46922800,614300,1395300
12,80000,47248400,558600,1369500
13,80000,46542500,564700,1376200
14,80000,48059700,581000,1408400
15,80000,47280800,612200,1416800
16,80000,46601500,544500,1439900
17,80000,46563300,691800,1377500
18,80000,46134700,799200,1349800
19,80000,46728600,596700,1403500
20,80000,46218000,702300,1449800
1,160000,73560000,992000,1787600
2,160000,74979500,788900,1724600
3,160000,73494300,795300,1941700
4,160000,75039400,836000,1733700
5,160000,74799100,825000,1768400
6,160000,76131100,825400,1796900
7,160000,73859100,822100,1655400
8,160000,74179300,832100,1661400
9,160000,74491600,820700,1782200
10,160000,74285400,848300,1711800
11,160000,74183100,771300,1608900
12,160000,74040900,793700,1677800
13,160000,74264400,816900,1850700
14,160000,74226600,945300,1840100
15,160000,74976800,1010400,1722800
16,160000,73585200,801900,1652100
17,160000,73479900,825100,1787000
18,160000,73915500,806900,1749300
19,160000,74145600,794700,1728300
20,160000,73519800,913700,1709200
1,320000,125743000,1613500,2732500
2,320000,126931600,2112300,2696000
3,320000,125784200,1759000,2756200
4,320000,127144399,1579100,2753000
5,320000,127091700,1678300,2686100
6,320000,126885800,1600700,2817200
7,320000,126405999,1654400,2859700
8,320000,125559700,1622700,2769400
9,320000,127591500,1612900,2631900
10,320000,127627400,1696000,2728500
11,320000,125553500,1820600,2770200
12,320000,127125200,1588900,2599000
13,320000,126541099,1604400,3046400
14,320000,126132200,1596500,2825800
15,320000,126710999,1631000,2787500
16,320000,126348999,1633200,2858100
17,320000,127346800,1615200,2971300
18,320000,125777900,1564900,2976200
19,320000,126450299,1565500,2624500
20,320000,127239400,1670100,2677000
1,640000,235999400,2812000,4547100
2,640000,234876500,3312700,4464200
3,640000,234197700,2842000,4206700
4,640000,234025100,2892000,4551400
5,640000,233700600,2846600,4988800
6,640000,235539700,2695900,4617300
7,640000,232590600,2747500,4604900
8,640000,233581400,3060200,4432200
9,640000,235739700,2738400,4466300
10,640000,233573000,2793800,4520600
11,640000,233851800,3346900,4549800
12,640000,234224100,2825300,4329500
13,640000,235738500,2795200,4587900
14,640000,233966100,2779400,4357800
15,640000,236292200,2739800,4397700
16,640000,235295900,2798100,4412000
17,640000,234499100,2770900,4650600
18,640000,234760200,2718500,4473300
19,640000,234399800,2763000,4485300
20,640000,235222800,2767100,4576200
1,1280000,446708800,5099000,6787500
2,1280000,447998600,5043900,6549100
3,1280000,446007600,5283800,6603700
4,1280000,448487200,4918600,6643700
5,1280000,450400000,4978300,6729500
6,1280000,446590300,5075500,6666200
7,1280000,447724000,5212800,6572800
8,1280000,448543100,5088400,6613300
9,1280000,447723300,4959800,6564300
10,1280000,446846300,5040900,6633300
11,1280000,446972400,5171000,6480000
