Iteration,Loop_Count,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
1,10,163603000,79644500,182503900
1,100,236608000,157497600,248857700
1,1000,920393000,85757900,917509200
2,10,167741800,256454799,168809100
2,100,234052400,238125700,252448400
2,1000,927162000,86431200,904436400
3,10,147954700,74990500,180173700
3,100,236523600,199683800,238161500
3,1000,927055700,83321800,919487200
4,10,171384200,234497900,179024700
4,100,241473800,202977300,251602400
4,1000,897758700,86129700,932083400
5,10,162873200,75054500,180913700
5,100,238845800,210530500,231175100
5,1000,924652600,77910200,912861300
6,10,164113800,251460699,181608500
6,100,240467900,255009300,249307700
6,1000,900047800,78441700,927280000
7,10,160757700,74524100,181003300
7,100,238384300,235604800,256775900
7,1000,955524400,83254200,917663200
8,10,176534900,178399000,171889500
8,100,251067700,127090399,249615500
8,1000,909423400,78613400,923737100
9,10,172294800,78083800,182705300
9,100,250136900,116693300,236322400
9,1000,951272800,92760100,919554600
10,10,177303400,175364800,183805400
10,100,206136900,80450400,250539500
10,1000,926694000,78194600,918111300
11,10,176274000,106847300,182060600
11,100,249215800,128002600,233137100
11,1000,936873700,107047200,924566000
12,10,174816300,192309100,183358700
12,100,235515300,77369200,269859400
12,1000,931303200,95437900,920026800
13,10,173119700,197994400,173795100
13,100,243738000,176992000,235124100
13,1000,933811800,113008600,911145600
14,10,168245600,244977700,182056000
14,100,228997600,75365000,248529500
14,1000,922830000,77436900,914922800
15,10,165688600,240000900,168091900
15,100,234031400,268723700,242903600
15,1000,920871300,82211100,917872200
16,10,166575900,203998600,181123700
16,100,237571900,73704000,248772400
16,1000,922638100,73232700,914318900
17,10,162103400,221007600,151979400
17,100,228027200,236572300,253670100
17,1000,915326600,68574700,905894300
18,10,137681600,68260700,182495800
18,100,233813600,145941600,235413900
18,1000,936674700,68719000,909023200
19,10,168655000,221570500,189459300
19,100,207949300,66016800,249320900
19,1000,922582200,67633800,911293700
20,10,161935100,154227800,172953000
20,100,233839400,231906500,230454000
20,1000,912829800,67115200,906932700
21,10,157825000,230454800,187701500
21,100,238531200,69112300,249100200
21,1000,922320500,66626900,908612600
22,10,155902900,185547700,207286100
22,100,227246900,197004300,291983900
22,1000,914150900,67678300,933042400
23,10,138503800,64707200,184328200
23,100,234723500,138894600,226874900
23,1000,944166500,92700500,905394200
24,10,155979700,193699300,226741700
24,100,213980600,64577300,248295900
