Iteration,N,Tuple Time (ns),Variadic Expressions Time (ns),Command Interface Time (ns)
1,10000,617000,847700,1293900
2,10000,564100,805300,1455400
3,10000,689700,738900,1105800
4,10000,551300,804000,1222900
5,10000,535800,903400,1348600
6,10000,584100,944900,1709900
7,10000,564600,1158500,1419900
8,10000,656200,1095900,1625100
9,10000,675200,1105400,1597500
10,10000,1191200,917700,1238700
11,10000,595500,1037400,1877700
12,10000,771400,1281400,1590100
13,10000,533000,1304100,1704800
14,10000,547100,1073300,1450700
15,10000,717700,1032500,1479300
16,10000,546100,1061600,1608700
17,10000,616300,1030600,1390700
18,10000,733500,883600,1455000
19,10000,614600,880400,1196600
20,10000,571800,978700,1426800
21,10000,694200,979400,1468000
22,10000,575200,1036500,1414000
23,10000,569800,873900,1294300
24,10000,650200,1032100,1459300
25,10000,568400,969500,1377500
26,10000,884400,893500,1299400
27,10000,592600,982500,1609500
28,10000,582900,807400,1165200
29,10000,838500,1110800,1576600
30,10000,631900,1347600,1834200
31,10000,523800,1096900,1587600
32,10000,539800,994200,1482900
33,10000,604700,973600,1387400
34,10000,617300,1151800,1500400
35,10000,645800,960500,1402400
36,10000,636300,986600,1316300
37,10000,543300,1070300,1328900
38,10000,564900,934800,1339300
39,10000,580300,1034500,1879200
40,10000,541200,1124500,1551800
41,10000,546800,1013000,1316300
42,10000,740700,913900,1492700
43,10000,622000,881000,1349400
44,10000,647200,923900,1199900
45,10000,544900,1054300,1474700
46,10000,562300,895700,1423100
47,10000,648000,1022900,1520000
48,10000,543100,1020700,1474300
49,10000,557600,1109800,1406700
50,10000,741400,1207000,1349300
51,10000,581600,796100,1204300
52,10000,553500,1073700,1374100
53,10000,537600,1036900,1422800
54,10000,559300,921800,1220600
55,10000,536500,930000,1329700
56,10000,590500,1082500,1490600
57,10000,569700,1022900,1461900
58,10000,1014300,1067600,1312100
59,10000,646800,1080800,1331800
60,10000,637600,1009900,1399900
61,10000,599400,1031100,1241400
62,10000,1014900,1089900,1464900
63,10000,543900,974700,1355600
64,10000,604700,1832700,1578200
65,10000,784600,1058400,1337500
66,10000,569800,965700,1393900
67,10000,534800,1002899,1306100
68,10000,562500,952700,1418500
69,10000,575500,1057500,1421400
70,10000,623000,997200,1284900
71,10000,589100,895200,1339400
72,10000,527100,814700,1197000
73,10000,556600,1048600,1474400
74,10000,534100,1082500,1348600
75,10000,531300,931100,1272100
76,10000,535600,1089100,1542800
77,10000,575700,1098000,1486100
78,10000,611500,1026599,1205000
79,10000,638600,1096400,1441300
80,10000,543200,1141900,1451900
81,10000,813800,1071500,1458200
82,10000,549500,1005599,1389300
83,10000,982599,1097400,1388100
84,10000,599300,1024699,1477100
85,10000,571100,1028200,1435600
86,10000,556100,1018999,1909800
87,10000,574400,1029600,1474500
88,10000,542800,1247800,1665100
89,10000,551300,1136800,1430100
90,10000,588700,995400,1482500
91,10000,705200,1149300,1574400
92,10000,865100,1218500,1544100
93,10000,551100,1494100,1751900
94,10000,536900,900600,1314000
95,10000,535400,903600,1547100
96,10000,548500,942800,1266800
97,10000,762000,1084900,1324000
98,10000,561200,1099500,1461000
99,10000,571100,1021400,1870000
100,10000,679900,1125100,1481100
101,10000,588700,1095900,1523300
102,10000,611000,998600,1576300
103,10000,548000,1235000,2059399
104,10000,1013500,1161400,1563900
105,10000,698500,981399,1321700
106,10000,541100,947700,1430000
107,10000,688500,849100,1275800
108,10000,581100,1076400,1399100
109,10000,538400,1021400,1453000
110,10000,581700,1005400,1634200
111,10000,579100,1030799,1550600
112,10000,568600,972400,1396100
113,10000,756300,1060900,1403500
114,10000,637200,839400,1214300
115,10000,645000,900000,1277400
116,10000,577800,934000,1298100
117,10000,597400,955200,1902300
118,10000,547000,934800,1420800
119,10000,567900,1080500,1561100
120,10000,566700,915200,1840300
121,10000,565100,1105600,1511600
122,10000,573200,1026500,1514100
123,10000,566500,1082500,1461200
124,10000,624400,842900,1471500
125,10000,518200,913700,1234700
126,10000,530400,965100,1429700
127,10000,705000,1126100,1957899
128,10000,535600,1067700,1530300
129,10000,576400,1050400,1434300
130,10000,558800,1068600,1442500
131,10000,631400,964700,1377000
132,10000,596400,1030900,1474600
133,10000,610900,1107700,1628700
134,10000,803800,1150400,2275700
135,10000,576000,1094300,1446400
136,10000,538400,999100,1463300
137,10000,599000,1036900,1487900
138,10000,533700,1269400,1431800
139,10000,544900,1046000,1532100
140,10000,748500,989499,1427900
141,10000,562200,1087500,1504900
142,10000,598700,1115000,1635800
143,10000,645300,1079300,1671100
144,10000,569700,931400,1370100
145,10000,546500,971200,1407500
146,10000,583100,948700,1353200
147,10000,540900,834900,1232700
148,10000,571800,1064300,1450700
149,10000,567400,976000,1317900
150,10000,724200,1028600,1440400
151,10000,589400,1019600,1535000
152,10000,708400,1051200,1470600
153,10000,538500,969500,1396500
154,10000,1033499,1825400,1599900
155,10000,607600,865800,1311600
156,10000,565500,973800,1478500
157,10000,622100,1054200,1439200
158,10000,683000,1015600,1492800
159,10000,643600,1147100,1442200
160,10000,581500,1262200,1688500
161,10000,536900,985600,1417500
162,10000,549800,1034600,1423300
163,10000,568900,1048500,1464800
164,10000,606800,1163600,1425000
165,10000,527000,892000,1448800
166,10000,569300,861200,1302700
167,10000,556200,1023400,1374800
168,10000,550900,896600,1287200
169,10000,720800,1048800,1430100
170,10000,590600,884300,1284400
171,10000,547700,937800,1348700
172,10000,566300,908300,1336000
173,10000,717500,1066200,1570500
174,10000,932300,1039999,1859800
175,10000,785500,1303700,1501000
176,10000,684200,1086500,1371500
177,10000,562100,1174500,1544700
178,10000,548700,1069700,1387400
179,10000,535400,1028200,1597500
180,10000,952700,1120700,1440300
181,10000,549500,1045100,1480200
182,10000,990700,1021700,1404100
183,10000,554600,1074600,1420000
184,10000,578900,1036199,1435700
185,10000,575800,920000,1260600
186,10000,569000,1071500,1405700
187,10000,563200,879800,1788400
188,10000,592800,1137500,1354100
189,10000,575000,941600,1360600
190,10000,538000,971500,1476400
191,10000,554600,910900,1343700
192,10000,549300,1019900,1425100
193,10000,534200,1085500,1611200
194,10000,619800,872300,1373600
195,10000,695500,1125400,1665200
196,10000,876100,1266900,1590800
197,10000,627400,1058600,1703600
198,10000,554200,982000,1469700
199,10000,548300,1085600,1448300
200,10000,631800,1172400,1532600
1,20000,593700,1016800,1506500
2,20000,628700,1292300,1610500
3,20000,616200,1044800,1459100
4,20000,664700,1086700,1290000
5,20000,652600,1101200,1374800
6,20000,713000,1120600,1602600
7,20000,639900,838700,1176900
8,20000,644400,1144600,1459100
9,20000,667900,1036700,1641500
10,20000,612100,1205000,1747700
11,20000,1026300,985299,1417600
12,20000,624300,1064400,1428900
13,20000,688700,1113400,1499000
14,20000,631000,1014500,1465600
15,20000,649800,1327200,1499300
16,20000,864700,1082800,1595600
17,20000,599100,1000999,1456900
18,20000,733200,1007400,1517700
19,20000,788000,876900,1293500
20,20000,818200,869600,1456300
21,20000,596300,1024800,1466500
22,20000,594500,977100,1501900
23,20000,634000,1059500,1472100
24,20000,921800,960400,1392300
25,20000,605300,1048399,1355000
26,20000,814600,1256300,1571700
27,20000,613000,1016699,1421000
28,20000,609000,994900,1493100
29,20000,597000,1060900,1493100
30,20000,594000,1034800,1493600
31,20000,858100,1072400,1481300
32,20000,640700,1103400,1448700
33,20000,596100,1027799,1417900
34,20000,602200,1011600,1415600
35,20000,632100,1087600,1513400
36,20000,693100,943400,1392900
37,20000,800600,1298700,1425400
38,20000,719200,1307600,1712400
39,20000,663400,1120000,1511400
40,20000,619500,1082100,1453800
41,20000,800100,1044800,1764600
42,20000,601800,1025499,1353900
43,20000,866800,1028000,1442000
44,20000,884300,1097700,1624600
45,20000,668600,1079200,1481600
46,20000,663200,1059500,1438100
47,20000,641300,838300,1137600
48,20000,608300,953700,1334100
49,20000,584800,755600,1158200
50,20000,615700,824600,1233100
51,20000,671500,999600,1344300
52,20000,633100,1035100,1489200
53,20000,588300,1014500,1442300
54,20000,615700,1085700,1360500
55,20000,611700,995700,1482400
56,20000,618300,996399,1564000
57,20000,887800,1410300,1555400
58,20000,645700,924200,1519900
59,20000,605800,995900,1265500
60,20000,596000,1002899,1394100
61,20000,600100,1049100,1517600
62,20000,606200,1135600,1432400
63,20000,830600,1040799,1463700
64,20000,752000,1158100,1746100
65,20000,587500,1057200,1442000
66,20000,643600,1102400,1399700
67,20000,630800,1072500,1593000
68,20000,673000,728400,1295500
69,20000,598300,907000,1252400
70,20000,650300,1068300,1492700
71,20000,592800,1145400,1458100
72,20000,608400,1150600,1482400
73,20000,605800,927700,1310700
74,20000,616000,913100,1321900
75,20000,612800,1053200,1418900
76,20000,770700,1056900,1735000
77,20000,604900,1252700,1459400
78,20000,778000,1195700,1551500
79,20000,659000,1021599,1220900
80,20000,972000,924600,1345200
81,20000,667500,1011299,1459500
82,20000,784300,950600,1328600
83,20000,624500,961800,1322700
84,20000,981600,915400,1368300
85,20000,602000,1124200,1352200
86,20000,858600,970900,1326100
87,20000,802600,1076300,1507700
88,20000,640800,1025900,1350000
89,20000,633200,846900,1240800
90,20000,611300,932300,1432800
91,20000,597500,1057800,1497500
92,20000,607700,1056700,1351700
93,20000,609300,1071900,1507300
94,20000,737900,1099200,1412000
95,20000,633600,996100,1424900
96,20000,591600,1020200,1471500
97,20000,615100,1083500,1415800
98,20000,942400,1034900,1431600
99,20000,880300,1158100,1337800
100,20000,751100,928000,1263100
101,20000,590700,918000,1318500
102,20000,686400,865800,1325700
103,20000,619800,898000,1407100
104,20000,650900,1050600,1498400
105,20000,615600,939900,1357700
106,20000,593700,917900,1284200
107,20000,644700,1079000,1348000
108,20000,623400,1063900,1444700
109,20000,625300,1037500,1442400
110,20000,833500,1588400,1918500
111,20000,590900,942800,1328200
112,20000,622500,926400,1245400
113,20000,599600,923300,1345900
114,20000,621600,974100,1452400
115,20000,623500,1030799,1597900
116,20000,659100,1045300,1343600
117,20000,655600,904300,1345600
118,20000,600200,1047800,1443300
119,20000,724500,1024900,1506300
120,20000,773100,1118800,1359500
121,20000,860000,1030099,1244300
122,20000,609900,896700,1412200
123,20000,880300,913900,1392100
