N,Repetition,Pinned Init (ns),Pageable Init (ns),Managed Init (ns)
10000,0,753300,13900,15728300
10000,1,584800,13400,16295900
10000,2,497000,14800,16069100
10000,3,488000,14700,15946900
10000,4,436800,13400,16285900
10000,5,498400,14500,16674000
10000,6,488000,14500,16362000
10000,7,567400,15000,16923500
10000,8,715700,14500,16512900
10000,9,638500,14700,16751300
10000,10,500100,14900,16402400
10000,11,509800,14500,16443400
10000,12,490400,14600,16723300
10000,13,489400,14600,17834300
10000,14,642500,15600,18065900
10000,15,853300,15300,17174200
10000,16,834900,14300,17931200
10000,17,493600,14800,16793100
10000,18,501200,15400,16113300
10000,19,487500,14400,16068000
20000,0,500000,33600,16470700
20000,1,1353100,27700,16461500
20000,2,509200,27900,16605800
20000,3,642600,26800,16785500
20000,4,702900,27400,16634900
20000,5,520700,27400,17404300
20000,6,523600,27900,16885200
20000,7,538600,27400,16763100
20000,8,504500,35300,17830400
20000,9,574800,27700,17458400
20000,10,535300,27800,17675500
20000,11,626300,28600,17346000
20000,12,723600,27700,17170400
20000,13,575000,88500,16421800
20000,14,565100,27900,16812400
20000,15,566200,28500,16557200
20000,16,634800,30300,17615600
20000,17,556300,28000,18130000
20000,18,728600,28100,16798000
20000,19,772500,28400,16735000
40000,0,558800,85200,17801900
40000,1,582800,53200,17628000
40000,2,580900,52400,17283600
40000,3,569200,71800,18320400
40000,4,591900,51400,18151900
40000,5,674800,52400,17124600
40000,6,672100,52800,17145300
40000,7,573800,52700,17386600
40000,8,566300,52100,17461400
40000,9,571400,51800,17216800
40000,10,563900,53300,17795400
40000,11,581900,52300,18845400
40000,12,921300,52000,18420000
40000,13,608600,52500,18057500
40000,14,646600,51700,18277400
40000,15,659700,51400,19822100
40000,16,615500,53300,19223300
40000,17,639300,58000,17988700
40000,18,667500,57200,17243700
40000,19,700100,53200,20281300
80000,0,729400,182900,23060400
80000,1,772800,103100,22648800
80000,2,707600,102400,21622700
80000,3,715100,103600,20338600
80000,4,653400,101800,18904500
80000,5,639200,101500,19560600
80000,6,688900,102100,19835700
80000,7,636700,101900,19572600
80000,8,565300,100700,19032200
80000,9,563600,99500,17681200
80000,10,591500,100300,18333800
80000,11,570400,113200,18480300
80000,12,603900,100400,18602900
80000,13,804400,101600,18841500
80000,14,535900,102100,19715900
80000,15,599900,101200,20764600
80000,16,769200,103400,20335900
80000,17,554700,210800,20963800
80000,18,559800,105800,21157100
80000,19,577800,101400,20990800
160000,0,623800,338100,22670700
160000,1,755700,200300,22859800
160000,2,607700,201500,22811000
160000,3,721900,198400,22862700
160000,4,608400,201600,23197900
160000,5,612700,201600,22739700
160000,6,599000,202800,22195000
160000,7,731300,205000,22430400
160000,8,736100,203000,22719000
160000,9,718900,200500,22738300
160000,10,620700,198700,22576200
160000,11,699700,197200,22431800
160000,12,611300,197300,22636700
160000,13,678200,212300,22308300
160000,14,614300,198800,22508300
160000,15,706600,207200,22784400
160000,16,817300,199100,22367100
160000,17,718100,199500,22151100
160000,18,608300,198500,22493000
160000,19,653600,211400,23624800
320000,0,775000,508900,27727100
320000,1,800100,512800,26970600
320000,2,765000,534300,26836200
320000,3,846100,564200,26898300
320000,4,799000,502700,26329300
320000,5,750900,485500,26852700
320000,6,801500,498200,26544500
320000,7,747900,493800,27273000
320000,8,872400,566600,26949700
320000,9,826600,534100,26451400
320000,10,745400,484200,26586300
320000,11,725600,487400,26605100
320000,12,747700,492400,26719200
