N,Repetition,Pinned Init+Transfer (ns),Pageable Init+Transfer (ns),Managed Init+Kernel+Prefetch (ns)
10000,0,1593400,719300,16077700
10000,1,1292700,704200,16890500
10000,2,1194000,611000,16721900
10000,3,1101600,690300,16652700
10000,4,1213500,685700,16851700
10000,5,1430100,697200,16524100
10000,6,1245900,1082700,16619100
10000,7,1321500,650500,16903200
10000,8,1293700,611400,16828400
10000,9,1164500,633200,16734800
10000,10,1284600,605200,16870700
10000,11,1151700,821900,16644100
10000,12,1152500,655000,17022100
10000,13,1166200,612000,16927300
10000,14,1263000,603800,18648100
10000,15,1450400,812200,18159900
10000,16,1294000,682100,18400500
10000,17,1335100,661800,17136900
10000,18,1153700,740700,16775700
10000,19,1370700,730300,17009600
20000,0,1786000,677400,17288800
20000,1,1544000,792900,17100000
20000,2,1354500,1281600,17045100
20000,3,1226400,906200,17344600
20000,4,1191300,632000,17772300
20000,5,1190800,716400,17610000
20000,6,1256600,719500,18167400
20000,7,1204800,665200,17951300
20000,8,1229600,650400,17221400
20000,9,1324200,698900,17911900
20000,10,1411600,660600,17616600
20000,11,1369400,682200,16858400
20000,12,2349500,813300,17868900
20000,13,1282000,732400,18503200
20000,14,1307500,665500,17506600
20000,15,1487400,780200,18076600
20000,16,1408100,724600,17678400
20000,17,1281700,731200,17047100
20000,18,1489000,720300,18500900
20000,19,1302700,715000,18264300
40000,0,1320300,707900,17964500
40000,1,1396400,775600,18681600
40000,2,1254400,779900,17898700
40000,3,1313200,671100,18002800
40000,4,1289500,762200,18043900
40000,5,1237300,763800,18659000
40000,6,1293600,744800,18837200
40000,7,1268100,742500,18529200
40000,8,1226800,789100,17776900
40000,9,1293200,789300,19468200
40000,10,1329200,867400,19251200
40000,11,1397800,903900,18472200
40000,12,2034100,822900,19994300
40000,13,1314100,766100,21788900
40000,14,2272100,896900,21012600
40000,15,1445300,843500,21053000
40000,16,1981200,872600,21057200
40000,17,1272200,721100,19253000
40000,18,1413100,1353800,17623800
40000,19,1281700,941600,17595600
80000,0,1776400,1121500,18955300
80000,1,1673600,1086000,19345800
80000,2,1490500,1063000,19281300
80000,3,1518900,1080400,18938500
80000,4,1548000,1124500,19197000
80000,5,1753400,1004800,19264700
80000,6,1539600,986900,19465400
80000,7,1549500,1027500,19492900
80000,8,2215500,1157500,19204700
80000,9,1513500,1002800,19261600
80000,10,1583800,1038400,19306200
80000,11,1507900,1870900,20040300
80000,12,1634800,1023400,19328700
80000,13,1458200,1009000,19410200
80000,14,1562100,1222000,19058800
80000,15,1595300,1016000,19068900
80000,16,1470400,992100,19424100
80000,17,7752200,1693000,101158300
80000,18,1637300,1099800,19490700
80000,19,2089300,1038300,19777000
160000,0,1937400,1579600,22724500
160000,1,2006700,1539100,21847000
160000,2,2144200,1469700,21955300
160000,3,1886100,1750300,22018000
160000,4,1894900,1722700,21976100
160000,5,1950100,1594300,22968600
160000,6,1950700,1548700,21968000
160000,7,1954400,1556600,21550300
160000,8,1917300,1533500,21131400
160000,9,2114800,1518700,21190500
160000,10,1963200,1492100,21512100
160000,11,1880800,1461900,21386100
160000,12,1905100,1560900,22675000
