N,Repetition,Pinned Transfer (ns),Pageable Transfer (ns),Managed Kernel (ns),Managed Prefetch+Kernel (ns)
10000,0,3500800,2732600,11701700,2571800
10000,1,2743700,2705600,4051200,2551900
10000,2,5652100,2687400,2542900,2549300
10000,3,2685100,2691900,2546900,2544000
10000,4,2690900,2703600,4038700,2572300
10000,5,8276900,17941900,15718100,7736500
10000,6,13792200,13023100,7795500,12850400
10000,7,14934800,12657000,6322100,333700
10000,8,458900,398800,328500,531500
10000,9,715100,508400,330000,332800
10000,10,410200,406200,326400,323800
10000,11,403000,405500,325700,321600
10000,12,398700,406400,324700,321300
10000,13,421800,919200,420600,324700
10000,14,391800,392200,326600,345900
10000,15,427200,421100,330400,335500
10000,16,441800,457900,337600,335600
10000,17,508800,656600,617000,743000
10000,18,408300,413000,327200,329500
10000,19,441200,427900,331300,339700
20000,0,619700,418700,317600,329600
20000,1,421700,430600,328000,324400
20000,2,455600,465600,328500,517900
20000,3,1060000,526200,332900,329300
20000,4,417200,424000,326600,325000
20000,5,403700,443300,334400,328800
20000,6,432100,439400,529500,577400
20000,7,836200,584300,327400,330700
20000,8,442900,436700,334300,330300
20000,9,426300,434300,323100,331500
20000,10,441700,457600,342700,563200
20000,11,781800,558900,323300,324900
20000,12,425600,420600,322000,326300
20000,13,408300,419800,332600,341400
20000,14,445500,433700,319800,645300
20000,15,742300,528300,322900,327800
20000,16,413000,433100,321800,323900
20000,17,406700,443900,322300,327200
20000,18,424900,461600,329500,349800
20000,19,734100,793300,705400,381100
40000,0,681100,433300,319500,331700
40000,1,429600,444900,324900,328200
40000,2,422800,438100,342500,369300
40000,3,420300,438800,329200,620900
40000,4,816200,616100,322900,331100
40000,5,415400,442100,323600,329300
40000,6,433800,435400,327200,343700
40000,7,425600,437400,571900,763600
40000,8,795700,436300,323700,329800
40000,9,417000,432300,323600,325700
40000,10,410300,412800,321000,330000
40000,11,419100,470900,634000,734900
40000,12,513800,436100,322900,326400
40000,13,417100,439500,323500,325600
40000,14,417000,432800,324100,326200
40000,15,418000,447900,354900,622100
40000,16,810400,530200,322300,327600
40000,17,426500,436800,322300,325700
40000,18,432000,434500,322200,327200
40000,19,415800,436000,322600,607900
80000,0,1308700,1209000,583600,597300
80000,1,735000,739900,579500,587800
80000,2,711200,932700,1236100,585000
80000,3,697100,723500,578400,582500
80000,4,688700,724000,578600,1136400
80000,5,1138300,735500,584200,582500
80000,6,703900,726400,578400,583300
80000,7,975600,1447300,578800,583500
80000,8,691100,741300,591500,585200
80000,9,717800,1275400,794100,584000
80000,10,708500,726100,578100,583400
80000,11,741100,723900,578800,1175500
80000,12,900000,723100,578200,582600
80000,13,690200,721600,578100,586700
80000,14,934100,1211600,578500,582900
80000,15,699100,727600,578900,581100
80000,16,662000,704100,1110300,1022700
80000,17,661400,693400,548500,556400
