N,Repetition,Pinned Init (ns),Pageable Init (ns),Managed Init (ns)
10000,0,583300,23200,16008700
10000,1,552200,10900,16516700
10000,2,587300,11000,16395100
10000,3,611300,11600,16535100
10000,4,667700,11100,16458200
10000,5,695300,11400,16443600
10000,6,645600,11600,16289700
10000,7,796100,10900,16363800
10000,8,586800,10900,16160200
10000,9,617000,11200,16549700
10000,10,679200,12500,16625200
10000,11,621300,11100,16444900
10000,12,635900,11100,16363200
10000,13,663200,12400,16368700
10000,14,688400,10800,16343600
10000,15,620100,10800,16369400
10000,16,579300,12000,16593600
10000,17,590000,11000,16797100
10000,18,648100,11200,15547300
10000,19,701100,11000,16741700
20000,0,608000,35600,17152200
20000,1,663700,28200,16885800
20000,2,652800,31400,16972300
20000,3,636100,22300,17074000
20000,4,640400,19400,17011600
20000,5,670600,19700,17276400
20000,6,730900,19100,16878600
20000,7,652000,19600,16631600
20000,8,641700,18800,16760400
20000,9,642500,19200,16671000
20000,10,623300,24500,16634100
20000,11,635900,19100,16849500
20000,12,647100,19500,16946000
20000,13,652000,19200,16758100
20000,14,676600,21200,17113000
20000,15,626500,19700,16903900
20000,16,615900,19200,16758800
20000,17,693900,30900,16724700
20000,18,750900,26800,16651900
20000,19,576900,19200,17124300
40000,0,666100,56500,17462600
40000,1,683500,38400,17396100
40000,2,663200,35300,17488000
40000,3,655200,40000,17621000
40000,4,707300,35900,17827700
40000,5,672400,36400,17464600
40000,6,557200,35800,17661400
40000,7,553200,36000,17472000
40000,8,576300,35700,17473300
40000,9,594600,35900,17415600
40000,10,631100,36300,17673300
40000,11,560600,37700,17756300
40000,12,535700,36900,17496200
40000,13,568900,36600,18159800
40000,14,995200,35600,17347900
40000,15,593200,37200,17673100
40000,16,559100,59700,17955200
40000,17,601100,36900,17855600
40000,18,511900,38400,17768900
40000,19,551000,35800,17259200
80000,0,622600,104200,18418200
80000,1,812100,124900,18735500
80000,2,645400,75300,18737700
80000,3,597100,70200,18786300
80000,4,799700,69600,18489700
80000,5,808900,70400,18359300
80000,6,786800,70400,18607800
80000,7,614100,69600,18486400
80000,8,630400,70300,18519300
80000,9,586700,70700,19104700
80000,10,641600,74900,19620000
80000,11,683400,71100,19416600
80000,12,726100,97400,19397200
80000,13,652200,70700,18822200
80000,14,674000,69900,18806000
80000,15,608500,82100,18544500
80000,16,594000,69600,18783700
80000,17,612000,69800,18959200
80000,18,611300,70900,18462100
80000,19,630000,73300,19051000
160000,0,754100,354800,21319000
160000,1,806100,139000,20949800
160000,2,731500,138600,20846400
160000,3,683000,139400,20538700
160000,4,688200,138800,21070600
160000,5,650800,143200,21162300
160000,6,684800,236300,22106600
160000,7,666700,138400,22432000
160000,8,805400,138400,22332900
160000,9,812700,145400,22760500
160000,10,789900,155000,22165000
160000,11,683500,138300,22444700
160000,12,687500,138000,22277000
