N,Repetition,Pinned Init+Transfer (ns),Pageable Init+Transfer (ns),Managed Init+Kernel+Prefetch (ns)
10000,0,886800,485100,16951500
10000,1,1006700,531400,18077000
10000,2,860400,348400,17994300
10000,3,946000,338700,18124000
10000,4,1053500,380700,18157700
10000,5,1096700,386200,18178900
10000,6,900800,349800,18001000
10000,7,879900,364400,18048400
10000,8,894400,387400,18073600
10000,9,924800,366400,18063400
10000,10,893800,387800,17931600
10000,11,922000,386900,18135900
10000,12,1048600,386100,18127400
10000,13,1034400,297700,18188400
10000,14,1105900,294700,17705800
10000,15,1119500,324100,18271900
10000,16,913800,389300,17961600
10000,17,926200,435500,17842900
10000,18,1008800,426200,17696800
10000,19,916900,356000,17906900
20000,0,1067900,388600,18226300
20000,1,1215900,329700,18383500
20000,2,1062000,429700,18197700
20000,3,1241600,330000,18091300
20000,4,1176500,440000,18148800
20000,5,974200,353800,18564200
20000,6,1004300,437700,19665400
20000,7,999300,409600,18034400
20000,8,1044600,377300,18107300
20000,9,1127600,310800,18321600
20000,10,970800,389100,18214100
20000,11,956200,379000,18734500
20000,12,965500,549100,18536500
20000,13,1250900,433400,18046300
20000,14,991000,400800,17904400
20000,15,1071300,350300,18178200
20000,16,983300,330500,21976200
20000,17,1964100,342800,20850400
20000,18,1649100,491400,18003900
20000,19,982600,450700,17749100
40000,0,990000,397400,19532600
40000,1,1042200,329400,18838900
40000,2,1044100,401600,18923100
40000,3,954300,401800,18780400
40000,4,972000,394100,19272000
40000,5,1100600,415500,19608500
40000,6,1413400,375100,19359100
40000,7,1220300,564600,19471700
40000,8,1013400,507700,18758200
40000,9,1098300,406600,18898100
40000,10,1085100,494900,19601700
40000,11,902300,421000,18551100
40000,12,873800,419900,19042100
40000,13,893300,422800,18891800
40000,14,961000,389500,18737400
40000,15,916800,521000,18678300
40000,16,996500,430300,18514100
40000,17,908100,380500,18664800
40000,18,1061700,429900,19420400
40000,19,1205900,356500,18728800
80000,0,936400,458700,20797500
80000,1,1096800,470100,22390600
80000,2,995200,422600,20381200
80000,3,992500,406500,22352500
80000,4,1005800,405300,20449300
80000,5,1039800,476400,20662000
80000,6,936700,429900,21591100
80000,7,1251900,401700,22086800
80000,8,1365500,619200,36798700
80000,9,999500,567700,23185200
80000,10,1107100,484300,22709800
80000,11,1024600,1137700,22717800
80000,12,1118900,577800,23042500
80000,13,1055500,466100,28320200
80000,14,1125000,487900,24666900
80000,15,1219800,458500,22937400
80000,16,1195800,513700,22948500
80000,17,1144400,639400,24297400
80000,18,1150700,669400,22602600
80000,19,1129900,476400,55872300
160000,0,1187700,620900,38086800
160000,1,1473400,671400,48430100
160000,2,1205100,611300,65209600
160000,3,1119200,704700,26673500
160000,4,1163500,742400,25657300
160000,5,1352400,645700,41193000
160000,6,1143000,697700,27539000
160000,7,1290700,686500,38560600
160000,8,1189200,717300,49947000
160000,9,1524700,700600,25564500
160000,10,1362000,721700,42797700
160000,11,1164700,633200,25269100
160000,12,1238400,653800,36422900
160000,13,1126400,676000,25568200
160000,14,1247600,631100,42787800
160000,15,1117500,637400,25091900
160000,16,1121100,691700,25966300
160000,17,1267500,684800,26172000
160000,18,1396600,713600,40280000
160000,19,1177900,679200,25246600
320000,0,1388100,1272000,37074900
320000,1,1347600,1211000,32658500
320000,2,1481400,1122900,33484800
320000,3,1353500,1182100,47132700
320000,4,1585700,1109600,32702900
320000,5,1472900,1091400,41981000
320000,6,1466000,1125100,43806200
320000,7,1463100,1135500,38167700
320000,8,1392200,1104400,52821900
320000,9,1427200,1202500,47220400
320000,10,1547900,1261500,33235000
320000,11,1529900,1099700,32823600
