Function;Loop; N; CUDA Time (ms);Thrust Time (ms);Fast Time (ms);New Time(ms)
1;1;1000000000;1427;1966;22615;1255
1;1;500000000;394;940;825;449
1;1;250000000;212;498;334;176
1;1;125000000;115;236;147;89
1;1;62500000;49;118;71;49
1;1;31250000;25;60;36;24
1;1;15625000;13;30;18;12
1;1;7812500;7;15;9;7
1;1;3906250;4;9;5;3
1;1;1953125;2;4;3;2
1;1;976562;1;2;1;1
1;1;488281;1;1;1;1
1;1;244140;0;1;0;0
1;1;122070;0;0;0;0
2;1;1000000000;1292;1879;18954;956
2;1;500000000;399;938;970;476
2;1;250000000;206;466;338;179
2;1;125000000;114;234;144;93
2;1;62500000;50;117;72;46
2;1;31250000;26;60;35;23
2;1;15625000;13;30;18;12
2;1;7812500;7;15;12;6
2;1;3906250;4;9;8;4
2;1;1953125;1;4;4;2
2;1;976562;1;2;2;2
2;1;488281;1;2;1;1
2;1;244140;1;1;0;1
2;1;122070;0;0;0;0
3;1;1000000000;1338;1895;1339;140710951157787
3;1;500000000;389;931;331;140710951157787
3;1;250000000;218;470;162;140710951157787
3;1;125000000;110;235;82;140710951157787
3;1;62500000;49;117;41;140710951157787
3;1;31250000;25;58;22;140710951157787
3;1;15625000;13;30;11;140710951157787
3;1;7812500;7;16;6;140710951157787
3;1;3906250;4;9;3;140710951157787
3;1;1953125;1;5;2;140710951157787
3;1;976562;1;2;1;140710951157787
3;1;488281;0;2;0;140710951157787
3;1;244140;0;1;0;140710951157787
3;1;122070;0;0;0;140710951157787
1;2;1000000000;1286;1868;23356;954
1;2;500000000;3065;2296;708;551
1;2;250000000;211;472;327;177
1;2;125000000;113;236;146;87
1;2;62500000;49;118;72;46
1;2;31250000;25;59;35;24
1;2;15625000;13;29;18;12
1;2;7812500;7;16;10;7
1;2;3906250;3;9;6;4
1;2;1953125;1;4;3;2
1;2;976562;1;3;2;1
1;2;488281;1;1;1;1
1;2;244140;0;1;0;0
1;2;122070;0;0;0;0
2;2;1000000000;1282;1945;16988;1218
2;2;500000000;405;918;716;516
2;2;250000000;209;462;339;175
2;2;125000000;99;231;144;100
2;2;62500000;51;115;72;46
2;2;31250000;26;58;36;23
2;2;15625000;13;29;18;11
2;2;7812500;7;15;9;7
2;2;3906250;3;9;5;3
2;2;1953125;2;4;3;2
2;2;976562;1;3;1;1
2;2;488281;0;1;1;1
2;2;244140;0;1;0;0
2;2;122070;0;0;0;0
3;2;1000000000;1176;1848;1241;140710951157787
3;2;500000000;387;914;337;140710951157787
3;2;250000000;207;459;161;140710951157787
3;2;125000000;98;231;83;140710951157787
3;2;62500000;49;115;42;140710951157787
3;2;31250000;25;57;21;140710951157787
3;2;15625000;13;29;11;140710951157787
3;2;7812500;7;15;6;140710951157787
3;2;3906250;4;9;3;140710951157787
3;2;1953125;2;5;2;140710951157787
3;2;976562;1;2;1;140710951157787
3;2;488281;1;1;1;140710951157787
3;2;244140;0;1;0;140710951157787
3;2;122070;0;0;0;140710951157787
1;3;1000000000;1303;1830;27657;947
1;3;500000000;408;921;755;534
1;3;250000000;203;460;348;178
1;3;125000000;111;232;144;96
1;3;62500000;50;116;73;47
1;3;31250000;25;58;37;23
1;3;15625000;13;29;18;11
