Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;11003;1913;29227
1;1;500000000;518;932;1220
1;1;250000000;216;466;328
1;1;125000000;105;234;178
1;1;62500000;54;117;83
1;1;31250000;27;60;44
1;1;15625000;14;30;21
1;1;7812500;7;18;9
1;1;3906250;4;9;5
1;1;1953125;3;5;3
1;1;976562;1;3;2
1;1;488281;1;2;1
1;1;244140;0;1;1
1;1;122070;1;0;0
2;1;1000000000;2207;1873;29524
2;1;500000000;550;943;1428
2;1;250000000;264;501;332
2;1;125000000;108;236;168
2;1;62500000;55;119;86
2;1;31250000;27;59;41
2;1;15625000;14;30;21
2;1;7812500;8;18;9
2;1;3906250;5;8;5
2;1;1953125;2;5;3
2;1;976562;1;3;1
2;1;488281;1;1;1
2;1;244140;0;1;0
2;1;122070;0;0;0
3;1;1000000000;1447;1886;0
3;1;500000000;422;931;0
3;1;250000000;208;475;0
3;1;125000000;105;234;0
3;1;62500000;53;116;0
3;1;31250000;27;59;0
3;1;15625000;13;29;0
3;1;7812500;8;15;0
3;1;3906250;4;8;0
3;1;1953125;2;5;0
3;1;976562;1;2;0
3;1;488281;1;2;0
3;1;244140;0;0;0
3;1;122070;0;0;0
1;2;1000000000;2288;1926;19567
1;2;500000000;552;953;872
1;2;250000000;214;489;333
1;2;125000000;106;238;166
1;2;62500000;53;119;79
1;2;31250000;27;60;36
1;2;15625000;13;30;18
1;2;7812500;7;17;9
1;2;3906250;4;10;5
1;2;1953125;2;5;3
1;2;976562;1;2;2
1;2;488281;1;1;1
1;2;244140;0;1;1
1;2;122070;0;0;0
2;2;1000000000;2108;1900;32210
2;2;500000000;570;964;1280
2;2;250000000;214;480;340
2;2;125000000;114;240;167
2;2;62500000;54;121;73
2;2;31250000;26;60;36
2;2;15625000;15;30;18
2;2;7812500;7;18;10
2;2;3906250;4;9;6
2;2;1953125;2;5;3
2;2;976562;1;2;2
2;2;488281;1;1;1
2;2;244140;0;1;0
2;2;122070;0;0;0
3;2;1000000000;1569;1905;0
3;2;500000000;421;952;0
3;2;250000000;211;487;0
3;2;125000000;105;239;0
3;2;62500000;53;120;0
3;2;31250000;25;59;0
3;2;15625000;13;30;0
3;2;7812500;8;15;0
3;2;3906250;4;10;0
3;2;1953125;3;5;0
3;2;976562;1;2;0
3;2;488281;1;1;0
3;2;244140;0;1;0
3;2;122070;0;0;0
1;3;1000000000;2062;1903;17077
1;3;500000000;584;962;1069
1;3;250000000;257;484;340
1;3;125000000;105;242;164
