Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;11397;2612;2308
1;1;100000000;145;434;69
1;1;10000000;8;24;7
1;1;1000000;1;3;1
1;1;100000;0;1;0
1;1;10000;0;0;0
2;1;1000000000;1249;2465;2713
2;1;100000000;295;244;70
2;1;10000000;8;24;7
2;1;1000000;1;3;1
2;1;100000;0;1;0
2;1;10000;0;1;0
3;1;1000000000;1223;2511;2717
3;1;100000000;278;398;69
3;1;10000000;9;25;7
3;1;1000000;1;3;1
3;1;100000;0;0;0
3;1;10000;0;0;0
5;2;1000000000;1333;2714;1343
5;2;100000000;143;480;70
5;2;10000000;8;25;8
5;2;1000000;1;4;1
5;2;100000;0;0;0
5;2;10000;0;0;0
6;2;1000000000;1252;2768;1351
6;2;100000000;162;424;69
6;2;10000000;10;26;8
6;2;1000000;1;3;1
6;2;100000;0;0;1
6;2;10000;0;0;0
7;2;1000000000;1395;2732;1602
7;2;100000000;213;406;69
7;2;10000000;8;25;7
7;2;1000000;1;3;1
7;2;100000;0;1;0
7;2;10000;0;0;0
5;3;1000000000;1379;2703;1255
5;3;100000000;145;383;74
5;3;10000000;8;25;7
5;3;1000000;1;3;1
5;3;100000;0;1;0
5;3;10000;0;0;0
6;3;1000000000;1355;2794;2627
6;3;100000000;238;466;69
6;3;10000000;8;25;7
6;3;1000000;1;3;1
6;3;100000;0;0;0
6;3;10000;0;0;0
7;3;1000000000;1355;2725;1493
7;3;100000000;218;414;69
7;3;10000000;8;26;7
7;3;1000000;1;3;1
7;3;100000;0;0;0
7;3;10000;0;0;0
5;4;1000000000;1341;2713;1219
5;4;100000000;159;481;69
5;4;10000000;8;25;8
5;4;1000000;1;3;1
5;4;100000;0;0;0
5;4;10000;0;1;0
6;4;1000000000;1292;2676;1247
6;4;100000000;143;476;69
6;4;10000000;8;25;7
6;4;1000000;1;3;1
6;4;100000;0;0;0
6;4;10000;0;1;0
7;4;1000000000;1305;2713;1437
7;4;100000000;160;478;69
7;4;10000000;8;25;8
7;4;1000000;1;3;1
7;4;100000;0;0;0
7;4;10000;0;0;0
5;5;1000000000;1316;2722;1291
5;5;100000000;168;416;68
5;5;10000000;8;25;8
5;5;1000000;1;3;1
5;5;100000;0;0;0
5;5;10000;0;0;0
6;5;1000000000;1163;2553;2842
6;5;100000000;194;446;69
6;5;10000000;8;25;7
6;5;1000000;1;3;1
6;5;100000;0;0;0
6;5;10000;0;0;0
7;5;1000000000;1270;2698;1459
7;5;100000000;157;458;69
7;5;10000000;9;25;7
7;5;1000000;1;3;1
7;5;100000;0;0;0
7;5;10000;0;0;0
5;6;1000000000;1217;2803;1151
5;6;100000000;158;415;69
5;6;10000000;8;25;7
5;6;1000000;1;3;1
5;6;100000;0;1;0
5;6;10000;0;0;0
6;6;1000000000;1260;2726;1265
6;6;100000000;169;434;69
6;6;10000000;8;25;8
6;6;1000000;1;3;1
6;6;100000;0;0;0
6;6;10000;0;1;0
7;6;1000000000;1299;2722;1365
7;6;100000000;161;501;68
7;6;10000000;8;25;7
7;6;1000000;1;3;1
7;6;100000;0;1;0
7;6;10000;0;1;0
5;7;1000000000;1315;2606;1236
5;7;100000000;150;517;68
5;7;10000000;8;25;7
5;7;1000000;1;3;1
5;7;100000;0;1;0
5;7;10000;0;0;0
6;7;1000000000;1266;2781;1169
6;7;100000000;165;436;69
6;7;10000000;8;25;8
6;7;1000000;1;3;1
6;7;100000;0;0;0
6;7;10000;0;0;0
7;7;1000000000;1280;2687;1425
7;7;100000000;158;482;69
7;7;10000000;8;25;8
7;7;1000000;1;3;1
7;7;100000;0;1;0
7;7;10000;0;1;0
5;8;1000000000;1338;2761;1226
5;8;100000000;143;384;69
5;8;10000000;9;25;8
5;8;1000000;1;3;1
5;8;100000;0;1;0
5;8;10000;0;0;0
6;8;1000000000;1185;2548;1093
6;8;100000000;156;506;69
6;8;10000000;8;25;7
6;8;1000000;1;3;1
6;8;100000;0;0;0
6;8;10000;0;0;0
7;8;1000000000;1145;2647;1154
7;8;100000000;162;429;68
7;8;10000000;9;26;8
7;8;1000000;1;3;1
7;8;100000;0;0;0
7;8;10000;0;0;0
5;9;1000000000;1204;2550;1460
5;9;100000000;160;455;69
5;9;10000000;8;25;7
5;9;1000000;1;3;1
5;9;100000;0;1;0
5;9;10000;0;0;0
6;9;1000000000;1394;2762;1210
6;9;100000000;166;438;68
6;9;10000000;8;25;8
6;9;1000000;1;4;1
6;9;100000;0;0;0
6;9;10000;0;1;0
7;9;1000000000;1247;2657;1219
7;9;100000000;154;411;68
7;9;10000000;8;25;7
7;9;1000000;1;3;1
7;9;100000;0;1;0
7;9;10000;0;1;0
5;10;1000000000;1448;2718;1133
5;10;100000000;162;433;68
5;10;10000000;8;26;8
5;10;1000000;1;3;1
5;10;100000;0;0;0
5;10;10000;0;1;0
6;10;1000000000;1328;2799;1188
6;10;100000000;175;394;68
6;10;10000000;8;26;8
6;10;1000000;1;3;1
6;10;100000;0;0;0
6;10;10000;0;0;0
7;10;1000000000;1222;2751;1241
7;10;100000000;167;387;68
7;10;10000000;8;26;7
7;10;1000000;1;3;1
7;10;100000;0;1;0
7;10;10000;0;0;0
