Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;1404;2566;1018
1;1;100000000;111;294;73
1;1;10000000;10;28;8
1;1;1000000;1;3;1
1;1;100000;0;1;0
1;1;10000;0;1;0
2;1;1000000000;1013;2583;971
2;1;100000000;116;303;75
2;1;10000000;10;29;9
2;1;1000000;1;4;1
2;1;100000;0;1;0
2;1;10000;0;1;0
3;1;1000000000;1000;2600;980
3;1;100000000;114;297;74
3;1;10000000;9;28;8
3;1;1000000;1;3;1
3;1;100000;0;1;0
3;1;10000;0;1;0
5;2;1000000000;997;2564;968
5;2;100000000;114;258;74
5;2;10000000;9;28;9
5;2;1000000;1;4;1
5;2;100000;0;1;0
5;2;10000;0;0;0
6;2;1000000000;1018;2551;975
6;2;100000000;113;255;74
6;2;10000000;10;28;8
6;2;1000000;1;4;1
6;2;100000;0;1;0
6;2;10000;0;1;0
7;2;1000000000;1023;2540;967
7;2;100000000;113;307;75
7;2;10000000;10;28;8
7;2;1000000;1;4;1
7;2;100000;0;1;0
7;2;10000;0;1;0
5;3;1000000000;1028;2559;973
5;3;100000000;112;289;74
5;3;10000000;9;28;8
5;3;1000000;1;3;1
5;3;100000;0;1;0
5;3;10000;0;1;0
6;3;1000000000;1031;2554;999
6;3;100000000;112;253;75
6;3;10000000;9;29;8
6;3;1000000;1;4;1
6;3;100000;0;1;0
6;3;10000;0;0;0
7;3;1000000000;1023;2566;978
7;3;100000000;119;254;75
7;3;10000000;10;26;8
7;3;1000000;1;3;1
7;3;100000;0;1;0
7;3;10000;0;0;0
5;4;1000000000;1014;2553;972
5;4;100000000;112;255;74
5;4;10000000;9;28;8
5;4;1000000;1;4;1
5;4;100000;0;1;0
5;4;10000;0;0;0
6;4;1000000000;1018;2530;975
6;4;100000000;113;291;75
6;4;10000000;10;27;9
6;4;1000000;1;3;1
6;4;100000;0;1;0
6;4;10000;0;0;0
7;4;1000000000;1018;2538;967
7;4;100000000;113;300;74
7;4;10000000;10;28;8
7;4;1000000;1;4;1
7;4;100000;0;1;0
7;4;10000;0;1;0
5;5;1000000000;1018;2570;975
5;5;100000000;121;255;85
5;5;10000000;9;29;8
5;5;1000000;1;3;1
5;5;100000;0;1;0
5;5;10000;0;1;0
6;5;1000000000;1036;2538;1005
6;5;100000000;115;277;74
6;5;10000000;9;28;8
6;5;1000000;1;3;1
6;5;100000;0;1;0
6;5;10000;0;0;0
7;5;1000000000;1021;2539;976
7;5;100000000;113;305;80
7;5;10000000;9;29;8
7;5;1000000;1;4;1
7;5;100000;0;1;0
7;5;10000;0;1;0
5;6;1000000000;1243;2640;987
5;6;100000000;101;255;74
5;6;10000000;9;28;8
5;6;1000000;1;3;1
5;6;100000;0;1;0
5;6;10000;0;0;0
6;6;1000000000;1018;2595;1053
6;6;100000000;102;330;76
6;6;10000000;10;28;8
6;6;1000000;1;3;1
6;6;100000;0;1;0
6;6;10000;0;1;0
7;6;1000000000;1022;2482;964
7;6;100000000;117;310;76
7;6;10000000;10;28;8
7;6;1000000;1;3;1
7;6;100000;0;1;0
7;6;10000;0;0;0
5;7;1000000000;1025;2480;969
5;7;100000000;99;330;73
5;7;10000000;10;27;8
5;7;1000000;1;3;1
5;7;100000;0;1;0
5;7;10000;0;1;0
6;7;1000000000;1030;2492;967
6;7;100000000;101;322;74
6;7;10000000;9;27;8
6;7;1000000;1;3;1
6;7;100000;0;1;0
6;7;10000;0;1;0
7;7;1000000000;1016;2498;983
7;7;100000000;101;306;75
7;7;10000000;10;27;8
7;7;1000000;1;3;1
7;7;100000;0;1;0
7;7;10000;0;0;0
5;8;1000000000;1017;2508;974
5;8;100000000;104;316;75
5;8;10000000;9;29;8
5;8;1000000;1;3;1
5;8;100000;0;1;0
5;8;10000;0;1;0
6;8;1000000000;1023;2500;977
6;8;100000000;105;296;75
6;8;10000000;9;28;9
6;8;1000000;1;3;1
6;8;100000;0;1;0
6;8;10000;0;1;0
7;8;1000000000;1017;2496;1005
7;8;100000000;100;306;76
7;8;10000000;10;28;8
7;8;1000000;1;3;1
7;8;100000;0;1;0
7;8;10000;0;0;0
5;9;1000000000;1016;2498;977
5;9;100000000;100;304;75
5;9;10000000;10;28;8
5;9;1000000;1;4;1
5;9;100000;0;1;0
5;9;10000;0;0;0
6;9;1000000000;1028;2501;979
6;9;100000000;112;301;75
6;9;10000000;10;27;8
6;9;1000000;1;3;1
6;9;100000;0;1;0
6;9;10000;0;0;0
7;9;1000000000;1021;2498;899
7;9;100000000;100;255;75
7;9;10000000;9;28;9
7;9;1000000;1;3;1
7;9;100000;0;1;0
7;9;10000;0;1;0
5;10;1000000000;1035;2497;1003
5;10;100000000;101;257;75
5;10;10000000;10;28;8
5;10;1000000;1;3;1
5;10;100000;0;1;0
5;10;10000;0;1;0
6;10;1000000000;1025;2497;965
6;10;100000000;102;303;74
6;10;10000000;9;27;8
6;10;1000000;1;3;1
6;10;100000;0;1;0
6;10;10000;0;0;0
7;10;1000000000;1023;2499;966
7;10;100000000;100;324;74
7;10;10000000;9;27;8
7;10;1000000;1;4;1
7;10;100000;0;0;0
7;10;10000;0;1;0
