Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
1;1;1000000000;7004;2436
1;1;100000000;85;249
1;1;10000000;9;27
1;1;1000000;1;3
1;1;100000;0;0
1;1;10000;0;0
2;1;1000000000;965;2433
2;1;100000000;85;265
2;1;10000000;9;26
2;1;1000000;1;3
2;1;100000;0;0
2;1;10000;0;0
3;1;1000000000;1051;2462
3;1;100000000;87;250
3;1;10000000;9;26
3;1;1000000;1;3
3;1;100000;0;0
3;1;10000;0;0
4;1;1000000000;987;2438
4;1;100000000;89;273
4;1;10000000;9;26
4;1;1000000;1;3
4;1;100000;0;0
4;1;10000;0;1
5;2;1000000000;1039;2459
5;2;100000000;85;249
5;2;10000000;9;26
5;2;1000000;1;3
5;2;100000;0;1
5;2;10000;0;1
6;2;1000000000;1002;2438
6;2;100000000;89;269
6;2;10000000;9;26
6;2;1000000;1;3
6;2;100000;0;0
6;2;10000;0;0
7;2;1000000000;1055;2457
7;2;100000000;85;250
7;2;10000000;9;26
7;2;1000000;1;3
7;2;100000;0;0
7;2;10000;0;0
8;2;1000000000;999;2437
8;2;100000000;89;269
8;2;10000000;9;28
8;2;1000000;1;4
8;2;100000;0;0
8;2;10000;0;0
5;3;1000000000;1037;2453
5;3;100000000;85;250
5;3;10000000;9;26
5;3;1000000;1;3
5;3;100000;0;0
5;3;10000;0;0
6;3;1000000000;1001;2434
6;3;100000000;89;268
6;3;10000000;9;26
6;3;1000000;1;3
6;3;100000;0;0
6;3;10000;0;0
7;3;1000000000;1055;2461
7;3;100000000;85;250
7;3;10000000;9;26
7;3;1000000;1;3
7;3;100000;0;0
7;3;10000;0;0
8;3;1000000000;1015;2445
8;3;100000000;94;269
8;3;10000000;9;26
8;3;1000000;1;3
8;3;100000;0;0
8;3;10000;0;0
5;4;1000000000;1040;2455
5;4;100000000;85;250
5;4;10000000;9;26
5;4;1000000;1;3
5;4;100000;0;1
5;4;10000;0;0
6;4;1000000000;1004;2445
6;4;100000000;90;283
6;4;10000000;9;26
6;4;1000000;1;3
6;4;100000;0;0
6;4;10000;0;0
7;4;1000000000;1054;2453
7;4;100000000;86;248
7;4;10000000;9;26
7;4;1000000;1;3
7;4;100000;0;0
7;4;10000;0;0
8;4;1000000000;1016;2437
8;4;100000000;89;268
8;4;10000000;9;26
8;4;1000000;1;3
8;4;100000;0;0
8;4;10000;0;0
5;5;1000000000;1039;2461
5;5;100000000;86;251
5;5;10000000;9;26
5;5;1000000;1;3
5;5;100000;0;0
5;5;10000;0;0
6;5;1000000000;1000;2439
6;5;100000000;89;272
6;5;10000000;9;27
6;5;1000000;1;3
6;5;100000;0;0
6;5;10000;0;0
7;5;1000000000;1047;2460
7;5;100000000;88;248
7;5;10000000;9;26
7;5;1000000;1;3
7;5;100000;0;0
7;5;10000;0;0
8;5;1000000000;1227;2437
8;5;100000000;98;297
8;5;10000000;10;26
8;5;1000000;1;3
8;5;100000;0;0
8;5;10000;0;0
5;6;1000000000;1043;2449
5;6;100000000;85;251
5;6;10000000;9;26
5;6;1000000;1;3
5;6;100000;0;0
5;6;10000;0;0
6;6;1000000000;1002;2429
6;6;100000000;91;268
6;6;10000000;9;27
6;6;1000000;1;3
6;6;100000;0;0
6;6;10000;0;0
7;6;1000000000;1053;2438
7;6;100000000;87;250
7;6;10000000;9;26
7;6;1000000;1;3
7;6;100000;0;0
7;6;10000;0;0
8;6;1000000000;1002;2431
8;6;100000000;85;268
8;6;10000000;9;26
8;6;1000000;1;3
8;6;100000;0;0
8;6;10000;0;0
5;7;1000000000;1044;2440
