Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;1;1000000000;1444;1931;29668
1;1;100000000;177;349;202
1;1;10000000;11;20;12
1;1;1000000;1;2;1
1;1;100000;0;0;0
2;1;1000000000;1119;1872;24064
2;1;100000000;197;282;200
2;1;10000000;11;20;12
2;1;1000000;1;2;1
2;1;100000;0;0;0
3;1;1000000000;1089;1879;29795
3;1;100000000;185;330;205
3;1;10000000;12;19;13
3;1;1000000;1;2;2
3;1;100000;0;0;0
1;2;1000000000;1159;1886;25568
1;2;100000000;190;296;212
1;2;10000000;12;20;12
1;2;1000000;1;2;2
1;2;100000;0;0;0
2;2;1000000000;1341;1888;19146
2;2;100000000;191;279;202
2;2;10000000;11;19;12
2;2;1000000;1;2;1
2;2;100000;0;0;0
3;2;1000000000;1086;1813;20151
3;2;100000000;199;188;211
3;2;10000000;11;19;14
3;2;1000000;1;2;2
3;2;100000;1;0;0
1;3;1000000000;1083;1813;21118
1;3;100000000;204;260;197
1;3;10000000;11;19;11
1;3;1000000;1;2;1
1;3;100000;0;0;0
2;3;1000000000;1102;1815;16837
2;3;100000000;230;189;117
2;3;10000000;11;19;12
2;3;1000000;1;2;2
2;3;100000;0;0;0
3;3;1000000000;1095;1813;21419
3;3;100000000;139;326;199
3;3;10000000;11;19;11
3;3;1000000;1;2;1
3;3;100000;0;0;0
1;4;1000000000;1317;1934;25652
1;4;100000000;203;203;186
1;4;10000000;11;21;12
1;4;1000000;1;2;1
1;4;100000;0;0;0
2;4;1000000000;1091;1952;22467
2;4;100000000;145;321;206
2;4;10000000;11;20;13
2;4;1000000;1;2;1
2;4;100000;0;0;1
3;4;1000000000;1115;1934;24558
3;4;100000000;202;275;193
3;4;10000000;11;20;12
3;4;1000000;1;2;1
3;4;100000;0;0;0
1;5;1000000000;1076;1935;25308
1;5;100000000;142;350;198
1;5;10000000;11;20;12
1;5;1000000;1;2;1
1;5;100000;0;0;0
2;5;1000000000;1336;1885;24103
2;5;100000000;191;189;199
2;5;10000000;11;19;11
2;5;1000000;1;2;1
2;5;100000;0;0;0
3;5;1000000000;1106;1810;21685
3;5;100000000;208;263;200
3;5;10000000;11;19;12
3;5;1000000;1;2;1
3;5;100000;0;0;0
1;6;1000000000;1058;1809;20338
1;6;100000000;207;187;215
1;6;10000000;12;19;12
1;6;1000000;1;2;2
1;6;100000;0;0;0
2;6;1000000000;1136;1811;19857
2;6;100000000;197;332;115
2;6;10000000;11;19;12
2;6;1000000;2;2;2
2;6;100000;0;0;0
3;6;1000000000;1065;1809;14116
3;6;100000000;97;231;227
3;6;10000000;11;19;12
3;6;1000000;1;2;1
3;6;100000;0;0;0
1;7;1000000000;994;1866;17925
1;7;100000000;83;213;208
1;7;10000000;11;20;14
1;7;1000000;2;2;2
1;7;100000;0;0;0
2;7;1000000000;1036;1868;22767
2;7;100000000;146;378;161
2;7;10000000;11;20;12
2;7;1000000;1;2;1
2;7;100000;0;0;0
3;7;1000000000;1028;1871;25337
3;7;100000000;197;304;195
3;7;10000000;11;20;13
3;7;1000000;1;2;1
3;7;100000;0;0;0
1;8;1000000000;1038;1870;17241
1;8;100000000;183;308;197
1;8;10000000;10;20;12
1;8;1000000;1;2;2
1;8;100000;0;0;1
2;8;1000000000;1315;1987;21658
2;8;100000000;147;352;197
2;8;10000000;11;20;12
2;8;1000000;1;2;1
2;8;100000;0;0;0
3;8;1000000000;1023;1874;17931
3;8;100000000;182;327;196
3;8;10000000;11;20;12
3;8;1000000;1;2;1
3;8;100000;0;0;0
1;9;1000000000;1029;1873;21242
1;9;100000000;209;194;152
1;9;10000000;12;20;15
1;9;1000000;1;2;2
1;9;100000;1;0;0
2;9;1000000000;1071;1876;17161
2;9;100000000;192;192;175
2;9;10000000;10;20;12
2;9;1000000;1;2;1
2;9;100000;0;0;0
3;9;1000000000;1004;1873;18738
3;9;100000000;207;193;173
3;9;10000000;11;20;12
3;9;1000000;1;2;1
3;9;100000;0;0;0
1;10;1000000000;1277;1928;20358
1;10;100000000;144;361;193
1;10;10000000;11;20;12
1;10;1000000;1;2;1
1;10;100000;0;0;0
2;10;1000000000;1021;1942;16878
2;10;100000000;177;317;194
2;10;10000000;10;20;13
2;10;1000000;1;3;1
2;10;100000;0;0;0
3;10;1000000000;1001;1942;17847
3;10;100000000;180;337;199
3;10;10000000;12;20;12
3;10;1000000;1;2;1
3;10;100000;0;0;0
