Function;Loop; N;Original Reduce Time (ms);Reduce V2 Time (ms);Reduce V3 Time (ms);Reduce V4 Time (ms)
1;1;1000000000;1022;836;1075;1227
1;1;500000000;513;361;328;361
1;1;250000000;238;183;162;179
1;1;125000000;126;90;86;91
1;1;62500000;59;46;43;46
1;1;31250000;30;23;21;24
1;1;15625000;17;12;11;13
1;1;7812500;9;7;6;6
1;1;3906250;4;4;5;4
1;1;1953125;3;3;2;2
1;1;976562;2;1;1;1
1;1;488281;1;0;0;0
1;1;244140;0;0;0;0
1;1;122070;0;0;0;0
2;1;1000000000;1110;893;1177;1320
2;1;500000000;525;407;333;363
2;1;250000000;244;182;163;181
2;1;125000000;128;91;82;91
2;1;62500000;59;46;42;46
2;1;31250000;30;24;21;24
2;1;15625000;17;12;11;12
2;1;7812500;8;6;5;6
2;1;3906250;4;3;3;3
2;1;1953125;2;1;2;1
2;1;976562;1;1;1;1
2;1;488281;1;1;0;0
2;1;244140;0;0;0;0
2;1;122070;0;0;0;0
3;1;1000000000;1084;970;951;1245
3;1;500000000;524;365;326;371
3;1;250000000;239;182;163;181
3;1;125000000;122;92;84;90
3;1;62500000;58;46;42;46
3;1;31250000;32;23;21;24
3;1;15625000;16;13;11;13
3;1;7812500;8;7;6;7
3;1;3906250;4;3;3;3
3;1;1953125;2;1;2;1
3;1;976562;1;1;1;1
3;1;488281;1;0;0;1
3;1;244140;0;0;0;0
3;1;122070;0;0;0;0
